name,country,period
Léonin,FRA,Medieval
Jaime León,COL,
Meier Leon,,
Rafael de Leon,,
Tania León,,Contemporary
Franghiskos Leontaritis,,
Michael Leontchik,,
Tomás León,,Romantic
Mykola Leontovych,UKR,Modern
Leopold I,ITA,Baroque
Hermann Leopoldi,,Romantic
Marcin Leopolita,,Renaissance
Markus Leoson,,Modern
Kazimierz Lepianka,,
Virpi Leppänen,,
Louis Nicolas Le Prince,,
Jan Sixt z Lerchenfelsu,POL,
Fred Lerdahl,USA,Contemporary
Sorin Lerescu,ROU,
Rudolf Lerich,,
José Ildefonso Jimeno de Lerma,,
Marilyn Lerner,,Contemporary
Philippe Leroux,FRA,
Adrien Le Roy,FRA,Renaissance
Jean Lesage,CAN,Contemporary
António Marques Lésbio,PRT,Baroque
Les Brown / Bud Green / Ben Homer,,
Theodor Leschetizky,RUS,Romantic
Frederick Lesemann,,
Jonathan Leshnoff,,
Ray Leslee,,Contemporary
Henry David Leslie,ENG,Romantic
Kenneth Leslie,,
Charles de Lespine,FRA,
Franciszek Lessel,,
David Lesser,,
Gotthold Ephraim Lessing,,
Paschal de L'Estocart,FRA,Renaissance
Alexander L'Estrange,,
Uli Lettermann,,Contemporary
Karl Leuner,,
Anton Wilhelm Leupold,,
Enrico de Leva,,Romantic
Oscar Levant,USA,
Teresa LeVelle,,
Elliot Z. Levine,,
Iris Levine,,
Josh Levine,,
Morris Levine,,Modern
Thomas Allen LeVines,USA,Contemporary
Gregory Levin,,
Joseph M. Levin,,
Neil W. Levin,,Modern
Rami Levin,,Contemporary
Sergey Levin,RUS,
Gerald Levinson,,Contemporary
Elia Levita,,
Leon Levitch,,Contemporary
Yuri Levitin,RUS,
Vladimir Levitt,,
Mischa Levitzki,RUS/USA,Modern
Alexandre Levy,BRA,Late- / Post-Romantic
Daniel Levy,,
Ernst Levy,,
Frank Ezra Levy,,Contemporary
Hank Levy,,
Jules Levy,ENG/USA,
Marvin David Levy,,Modern
Matthew Levy,,Contemporary
Louis Lewandowski,,Romantic
Lew Brown / Ray Henderson,,
Gustav Lewin,,
Andrew Lewinter,,
Andrew Lewis,,
Lewis E. Gensler / Leo Robin,,
Freeman Lewis,,
George E. Lewis,,Contemporary
Geraint Lewis,,
James Lewis,,
Jeffrey Lewis,,Contemporary
John Lewis,USA,
J. Reilly Lewis,,Contemporary
Malcolm Lewis,,Contemporary
Peter Scott Lewis,USA,Contemporary
Robert Hall Lewis,USA,Contemporary
Saunders Lewis,,
Bernhard Lewkovitch,DNK,Contemporary
Marc Lewon,,Medieval
Joseph Rudolph Lewy,,
Georg Dietrich Leyding,,
Ulrich Leyendecker,,
Henry George Ley,,Modern
José Lezcano,USA,Contemporary
José Manuel Lezcano,,
Jean L'Héritier,FRA,Renaissance
Antoine de Lhoyer,FRA,Classical
Ivan Liakhov,,
David Mingyue Liang,,Contemporary
Lei Liang,,
Stephen Lias,,
Laura Liben,,Modern
Matteo Liberatore,,
Reginald Libert,,
Wilhelm Licht,,
Johann Georg Lickl,AUT,Classical
Catherine de Licoschin,RUS,
Christian Joseph Lidarti,ITA,
Scott Liddi,,
Samuel Liddle,,
Jorge Liderman,,Contemporary
Ingvar Lidholm,SWE,Modern
José Lidón,ESP,Classical
Mats Lidstrom,,Contemporary
Christian Liebe,,
Lowell Liebermann,,Contemporary
Rolf Liebermann,CHE,Modern
Peter Lieberson,,Contemporary
Reginaldus Liebert,,
Wolfgang Liebhart,,
Steuart Liebig,,Contemporary
Max Liebling,,
Dave Liebman,,
Glogauer Liederbuch,,
Eirik Lie,,
Harald Lie,,
Juan de Lienas,,
Hans Olav Lien,NOR,Modern
Sigurd Lie,,Modern
Thurlow Weed Lieurance,USA,Modern
Peter Lieuwen,,Contemporary
Max Lifchitz,,Contemporary
György Ligeti,HUN,Contemporary
Lukas Ligeti,AUT,
Lignani,,
Alfonsus Maria de' Liguori,ITA,Baroque
Huanzhi Li,,
Heikki Liimola,FIN,Contemporary
Jie-fu Li,,
Douglas Lilburn,,Modern
Christian Lilienfeld (of),,
Ruben Liljefors,,
Thomas Liljeholm,,Contemporary
Jerónimo Francisco Lima,,
Paulo Abreu Lima,,
Juan de Lima Serqueira,ESP,Baroque
Jesse Limbacher,,
Chin Cheng Lin,,
Paul Lincke,DEU,Modern
Nathan Lincoln-DeCusatis,,
Harry J. Lincoln,,Modern
Christian Lindberg,SWE,Contemporary
John Lindberg,USA,Contemporary
Magnus Lindberg,FIN,Contemporary
Nils Lindberg,SWE,Contemporary
Olle Lindberg,,
Oskar Fredrik Lindberg,SWE,Modern
Andrea Lindberg-Tarrodi,,
Adolf Fredrik Lindblad,,Romantic
Anders Bo Leif Linde,SWE,Modern
Bo Linde,SWE,Modern
Jens Lindemann,,Contemporary
Wilhelm Lindemann,,
Harris Lindenfeld,,Contemporary
Magnus Lindgren,,
Pär Lindgren,,
Joshua Lind,,
Simon Lindley,,Contemporary
Peter Josef von Lindpaintner,DEU,Romantic
Peter Lindroth,,
Scott Lindroth,,Contemporary
Lindsay Cooper / Abdulah Sidran,,
D.D. Lindsay,,
Thomas Lindsay,,
Mats Lindström,SWE,Contemporary
Christer Lindwall,,Contemporary
Georg Ignaz (Jirí Ignác) Linek,CZE,Classical
Andres Linetzky,,
Trevor Ling,,
Jouko Linjama,FIN,Modern
Jyrki Linjama,,Contemporary
Jiang Lin,,
Ji Liang Lin,,
John Link,,
Ernst Linko,,
Jukka Linkola,FIN,Contemporary
Frans Linnavuori,,
Maria Linnemann,,
Robert Linn,,Contemporary
Gabriel Linsén,,
Selim Gabriel Linsén,,
Ivan Lins,,
Kirmo Lintinen,FIN,
Zhu Lin,,
Lionel Belmondo / Jacky Terrason,,
Lionel Hampton / Tommy Newsom,,
Dinu Lipatti,ROU,
Felix Lipesker,,
Karol Józef Lipiński,POL,Romantic
Malcolm Lipkin,,
Larry Lipkis,,
Andrew Lippa,,Contemporary
Eduoard Lippé,,
Binnette Lipper,,Contemporary
Franz Ignaz Lipp,,
David Liptak,,Contemporary
Rui Li,,
Lishkin,,
Ignacy Lisiecki,,
Rolf Lislevand,NOR,
John Lisley,ENG,
Henry Lissant-Collins,,
Kurt Lissmann,,
Andrew List,,
Garrett List,,
K. Listov,,
Nikolai Listov,,
Franz Liszt,HUN,Romantic
Tai-Hsiang Li,,
Gaston Litaize,FRA,Contemporary
Antonio Literes,ESP,Baroque
Carl Ludvig Lithander,,
Chrysthophylus Samuel Lithander,,
David Wilhelm Lithander,,
Fredrik Emanuel Lithander,,Romantic
Sofie Lithenius,FIN,
Alex Lithgow,SCO/NZL/AUS,Late- / Post-Romantic
Henry Charles Litolff,FRA,Romantic
Gabriel Litsgård,,
David T. Little,,
Jonathan D. Little,AUS,
Nicholas George Littlemore,,
Chi Liu,,Modern
Qi Liu,,
Ru-Zeng Liu,,
Sola Liu,CHN,
Tian-hua Liu,,Modern
Liu Tie-Shan / Yuan Mao,,
Lorenzino del Liuto,,
Liu Xuean (Yan Ru),,
Ying Liu,,
Yuan Liu,,
Zhuang Liu,,
Evangeline Livens,,
Leo Livens,,
Domenico Liverani,,
Parallel Lives,,
Lino Liviabella,ITA,Modern
Joseph Livingstone,,
Wen-ping Li,,
Yinghai Li,,
Nicole Lizée,,
Zhuji Li,,
Ferdinando Lizio,ITA,
Pablo Queipo de Llano,,
Miguel Llobet Solés,ESP,Modern
Ricardo Llorca,,
Charles Harford Lloyd,ENG,Romantic
Erika Lloyd,,
George Lloyd,ENG,Modern
Jonathan Lloyd,ENG,Modern
Norman Lloyd,,
Richard Lloyd,,Contemporary
Andrew Lloyd Webber,ENG,Contemporary
Julian Lloyd Webber,ENG,Contemporary
William Lloyd Webber,ENG,Modern
Analia Llugdar,,
Ramon Llull,,
Vasily Lobanov,RUS,Contemporary
Domingo Lobato,MEX,Modern
Ignacio Baca Lobera,,
Alonso Lobo,ESP,Renaissance
Cris Lobo,,
Samuel Loboda,,
José Joaquim Emerico Lobo de Mesquita,,
Duarte Lobo,PRT,Baroque
Pietro Antonio Locatelli,ITA,Baroque
Brian Lock,,
Matthew Locke,ENG,Baroque
Peter Lockett,,Modern
Beatriz Lockhart,,
Mark Lockheart,,Contemporary
Dan Locklair,USA,Contemporary
Annea Lockwood,NZL,Contemporary
John Lockwood,,Romantic
John (1949; jazz) Lockwood,,Contemporary
Normand Lockwood,,
Malcolm Lockyer,,
Edward James Loder,,
Henry Lodge,,
David Loeb,,Contemporary
Charles Martin Loeffler,USA,Late- / Post-Romantic
Jean-Baptiste Loeillet (of Ghent),BEL,Baroque
Jean Baptiste Loeillet (of London),BEL,Baroque
Frank Loesser,USA,Modern
Timothy Loest,USA,Contemporary
Theo Loevendie,,Contemporary
Carl Loewe,DEU,Romantic
Frederick Loewe,USA,Modern
Maria Löfberg,,
Albert Löfgren,,Late- / Post-Romantic
Lo.Flynn,,
Nicola Bonifacio Logroscino,ITA,
Paul Lohman,,
Hermann Löhr,,
Horst Lohse,,
Martin Lohse,,
Hannibal Lokumbe,,
Kwun-Ting Lo,,
Antonio Lolli,,
G. Lomakin,,
Gavriil Yakimovich Lomakin,RUS,Romantic
Daniele Lombardi,ITA,Modern
Luca Lombardi,,Contemporary
Maddalena Lombardini Sirmen,ITA,
Paul Lombardi,,
Russ Lombardi,,
Francisco Lomuto,ARG,
Carlo Ambrogio Lonati,ITA,Baroque
Pyotr Londonov,,
Federico Longas,,
Henry Wadsworth Longfellow,,
Henry Wardsworth Longfellow,,
W. H. Longhurst,,
John Basil Hugh Longmire,,
Alessandro Longo,,
Edward Longstaff,,
John Longstaff,,Modern
David Longstreth,,
Zhou Long,CHN/USA,Contemporary
Diane Loomer,,
Harvey Worthington Loomis,,Modern
Christophe Looten,,Contemporary
Nikolai Lopatnikoff,RUS/USA,Modern
Lope de Baena,,
Fernando Lopes-Graça,PRT,
Andreas Lopez,ESP,Renaissance
Jose Antonio Lopez Andujar,,Contemporary
Carlos López-Buchardo,ARG,
E López,,
Félix Máximo López,,
Francis López,FRA,Modern
Guido López-Gavilán,,
Jimmy Lopez,,
José Manuel López,,Contemporary
José Manuel Lopez-Lopez,,Contemporary
Orestes López,,
Manuel López-Quiroga y Miquel,ESP,
Tom Lopez,,
Ronald Lopresti,,Modern
Federico Garcia Lorca,ESP,Modern
Jon Lord,,
Carl Lorens,,
Andrés Lorente,,
Bent Lorentzen,,Contemporary
Johannes Lorentz,,
Johan the younger Lorentz,,
Paolo Lorenzani,,Baroque
C.D. Lorenz,,
Karl Adolph Lorenz,,
Oscar Lorenzo Fernândez,BRA,Modern
Leonardo de Lorenzo,,Late- / Post-Romantic
Ricardo Lorenz,,
Denis Lorrain,,
Albert Lortzing,DEU,Romantic
Losso,,
Jan Antonín Losy,BOH,Baroque
Arne Löthman,,Contemporary
Erik Lotichius,NLD,Contemporary
Johan Georg Lotscher,,
Adolf Lotter,,
Antonio Lotti,ITA,Baroque
Raymond Loucher,,
Raymond Loucheur,FRA,
Lee Loughnane,USA,
Alexina Louie,CAN,Contemporary
Antoine Louis,,
Louis de Caix d'Hervelois,FRA,Baroque
Louis Ferdinand, Prince,,
Toivo Louko,FIN,
Arthur Vincent Lourié,,Modern
Shuhua Lou,,
Jacques Loussier,FRA,
Richard Lovelace,,
William Lovelady,ENG,
William Lovelock,,
Herman Severin Løvenskiold,NOR,Romantic
Lyle Pearce Lovett,,
M. Lovorsky,,
Donato Lovreglio,ITA,Romantic
Eleuterio Lovreglio,,
David Lovrien,,
Michael Lowenstern,,Contemporary
Johann Jakob Lowe von Eisenach,DEU,Baroque
Leo Low,,
Douglas Lowry,,
Robert Lowry,USA,Romantic
Loÿs,,
Bertram Luard-Selby,,
Jeremy Lubbock,,Contemporary
Mark Lubbock,,
Vincent Lübeck,DEU,Baroque
Alex Lubet,,
Nikolaï Lubimov,,
L. Lubinsky,,
Jan z Lublina,POL,
Giuseppe de Luca,ITA/USA,Romantic
Joseph de Luca,,Modern
Nunzia Luca,,
José Javier Navarro Lucas,,
Leighton Lucas,,Modern
Lucas Lossius / Conrad Rein,,
Andrea Lucchesi,ITA,Classical
Luchas,,
Andrea Luchesi,,
Franco Luciani,,
Paco De Lucia,,Contemporary
Lucièn-Léon Guillaume Lambert II,,
Alvin Lucier,USA,Modern
Rüdiger Lüders,,
Nicholas Ludford,,
Mihkel Lüdig,,
Benjamin J. Ludlow,USA,Modern
Ivana Ludova,,
David Ludwig,,
Peter Ludwig,DEU,
John Luebke,,
Raymond Luedeke,,Contemporary
Otto Luening,USA,Modern
Johann-Heinrich Luft,,
Ingo Luis,,
Luis Rigou / Gerardo di Giusto,,
Miklós Lukács,,Romantic
Lukas Di Nunzio / Axel Schruhl,,
Lukas Di Nunzio / Peter Peter,,
Zdenek Lukas,CZE,Modern
Marcin Łukaszewski,POL,
Pawel Lukaszewski,,Contemporary
Lukasz Gottwald / Katy Perry,,
Ray Luke,USA,Modern
Giovanni Lorenzo Lulier,ITA,Baroque
Ramon Lull,,
Jean-Baptiste Lully,FRA,Baroque
Hans Christian Lumbye,DNK,Romantic
David Lumsdaine,AUS,Contemporary
Luna,,
Adolfo Luna,,
Armando Luna,MEX,
Félix Luna,,Modern
Pablo Luna,,Modern
Lennart Lundberg,,
Gösta Lundborg,SWE,Modern
Lawson Lunde,,Modern
Ida Lundén,,
Staffan Lundén-Welden,,
Erik Lund,USA,Contemporary
Dag Lundin,,Contemporary
Rasmus B. Lunding,,
Gustaf Ferdinand Lundin,,Modern
Torbjörn Lundquist,,Contemporary
Hildor Lundvik,,Modern
Ioan Lungu,,
John Lunn,,
Alexandre Lunsqui,,
Vilho Luolajan-Mikkola,,Modern
Giovanni Battista Luparini,,
Pei Lu,CHN/USA,
Johannes Lupi,FRA,Renaissance
Joseph Lupo,,
Thomas Lupo,ENG,Renaissance
Qi-Ming Lu,,
Filippo de Lurano,,
Stepan Lusikyan,ARM,Contemporary
René Lussier,,
Lelia Lustig,,
Bartolomeo Lustrini,,
W. A. Lutgen,,Romantic
John Michael Luther,,Contemporary
Martin Luther,DEU,Renaissance
Witold Lutoslawski,POL,Contemporary
Elisabeth Lutyens,ENG,Modern
Johann Heinrich Lützel,,
Martin Lutz,,
Rudolf Lutz,CHE,
Friedrich Lux,DEU,
Yi-Ting Lu,TWN,Contemporary
Diego Luzuriaga,,Contemporary
Luzzasco Luzzaschi,ITA,Renaissance
Luigi Luzzi,ITA,Romantic
Alexey Fyodorovich Lvov,RUS,Romantic
Konstantin A. Lvov,,Contemporary
Pesach Lvov,,
Grigor F. Lvovsky,,
A. Lwovsky,,
Anatoly Lyadov,RUS,Romantic
Konstantin Lyadov,RUS,
Sergei Lyapunov,RUS,Modern
Borys Lyatoshynsky,UKR,Modern
Finn Lykkebo,,
Johannes de Lymburgia,DEU,
Graham Lynch,ENG,Contemporary
John P. Lynch,,
David Lyon,,Contemporary
Petar Lyondev,,
Eric Lyon,,Contemporary
Cornelius Lyons,,
Gilda Lyons,,
Richard Lyons,,Contemporary
Justus Wilhelm Lyra,,Romantic
Mykola Vitaliyovych Lysenko,UKR,Romantic
Michel Lysight,,Contemporary
Marc Lys,,
Lyubimov,,
Armas Maasalo,FIN,Modern
Ami Maayani,,
Teodulo Mabellini,ITA,Romantic
George Mabry,,
Yuko Mabuchi,,
Vincenzo Macaluso,,Modern
David MacBride,,Contemporary
Giacomo Maccari,,
Ewan MacColl,,
Hamish MacCunn,SCO,Late- / Post-Romantic
James G. MacDermid,,
Galt MacDermot,,
Andrew P. MacDonald,CAN,Contemporary
Payton MacDonald,,Contemporary
Edward MacDowell,USA,Late- / Post-Romantic
Ivo Macek,,
Teo Macero,,
John Menzies Macfarlane,,
William C. MacFarlane,,
George Macfarren,ENG,
Allister MacGillivray,,
Robert MacGimsey,USA,Modern
Antionio Machado,,
Antonio Machado,,
Celso Machado,,Contemporary
Otmar Macha,,
Guillaume de Machaut,FRA,Medieval
Alexander (Aleksi) Davidovich Machavariani,GEO,
François-Bernard Mâche,FRA,Modern
Misato Machizuki,,
Tod Machover,USA,Contemporary
Meyer Machtenberg,USA,
Robert Macht,,Contemporary
Machy (Demachy),FRA,Baroque
Gonzalo Macías,,
Roman Maciejewski,POL,
David MacIntyre,CAN,
Dieter Mack,,
Theo Mackeben,DEU,Modern
Alexander Mackenzie,SCO,Modern
Fiona Mackenzie,,
John Mackey,,
Steven Mackey,USA,Contemporary
Dougie MacLean,SCO,
D. MacLeod,,
Doug MacLeod,,
Jackson Mac Low,,
Ernest MacMillan,CAN,Modern
James MacMillan,SCO,Contemporary
Kieren MacMillan,,
Scott MacMillan,CAN,Modern
Dermot MacMurrough,,Modern
Dame Elizabeth Maconchy,ENG,Modern
Cameron O'Day Macpherson,,
Charles MacPherson,,
Giovanni de Macque,FRA/ITA,Renaissance
Stuart MacRae,GBR,
Larry Mactaggart,,
Carleton Macy,USA,Contemporary
Imre Madach,,
Ivan Madarasz,,Contemporary
Richard Madden,NZL,Modern
David Maddux,,
Carl Mader,,Modern
Clarence Mader,,
Bruno Maderna,DEU,Modern
Leevi Madetoja,FIN,Modern
Carlos Madrigal,MEX,Contemporary
Paquita Madriguera,ESP,Modern
Trygve Madsen,NOR,Contemporary
Guido Maduli,ITA,
João Madureira,,
Katsuji Maeda,JPN,
Jan Maegaard,,Contemporary
Roope Mäenpää,FIN,
Kim Maerkl,,
Jef Maes,,
Pedro Maffia,,
Filipe de Magalhaes,PRT,Baroque
Eugène Magalif,,
Quinto Maganini,,Modern
Vladimir Magdalits,RUS,
Michtild von Magdeburg,,
Mary Mageau,AUS,Contemporary
Dario Maggi,ITA,Contemporary
Robert Maggio,USA,Contemporary
Ester Mägi,EST,Contemporary
Ronan Magill,,Contemporary
Andrew Maginley,,Contemporary
Milosz Magin,,
Frederik Magle,DNK,Contemporary
Anthony J. Maglione,USA,
Orazio Maglio,,
Aurelio Magnani,ITA,Romantic
Albéric Magnard,FRA,Romantic
Edda Magnason,,
Victor Magnien,,
Roy Magnuson,,
Imre Magyari,,Modern
Rudresh Mahanthappa,USA,
Antoine Mahaut,HOL,Baroque
Bruce P. Mahin,,
Ernst Mahle,,Contemporary
Alma Mahler,AUT,Modern
Gustav Mahler,AUT,Late- / Post-Romantic
Claus-Steffen Mahnkopf,,
Shafer Mahoney,,Contemporary
Timothy Mahr,,Contemporary
Stephan Mahu,,
P. Maiboroda,,
Franz Anton Maichelbeck,DEU,Baroque
Florian Maierl,,
Michael Maier,DEU,Baroque
René Maillard,FRA,Modern
Aimé Maillart,FRA,Romantic
Alphonse Jean Ernest Mailly,,
Martin Mailman,,Contemporary
Enrico Mainardi,ITA,Modern
Giorgio Mainerio,ITA,Renaissance
Louis Maingueneau,,
Stephen Main,,
Philipp Maintz,DEU,
Ascanio Maione,,
Tadeusz Majerski,POL,
Hans Martin Majeweski,,
Mikołaj Majkusiak,POL,
Giuseppe de Majo,,
Douglas Major,,Contemporary
Keeril Makan,,
Mia Makaroff,,
Marina Makarova,RUS,Contemporary
Fiodor Makarov,,
N. Makarov,,
Ke Ma,,
Ma Ke / He Jingzhi,,
Maija Makela,,
Frederick Charles Maker,ENG,Late- / Post-Romantic
Vera Makhan,RUS,
Giorgi Makhoshvili,,
Andreas Makris,,
Leonid Malashkin,RUS,Romantic
Leonid Dimitrievitch Malashkin,RUS,Romantic
Joaquin Malats,CTN,Late- / Post-Romantic
Samuel Malavsky,,
Artur Malawski,POL,Modern
Malcolm Arnold / Andrew Penny,,Contemporary
George Malcolm,,Baroque
John Malcolm,,
Arvydas Malcys,,
E.V. Malderen,,
Fernando Maldonado,,
Ivo Malec,FRA,Modern
Maciej Malecki,POL,Contemporary
Jan Málek,,
Paul Malengreau,BEL,Modern
Alfredo Malerba,,
Maria Malibran,ESP,
Gian Francesco Malipiero,ITA,Modern
Riccardo Malipiero,,Modern
Witold Maliszewski,,
Raúl Mallavibarrena,,Renaissance
Otto Malling,,Late- / Post-Romantic
Ake Malmfors,,
K.G. Malm,,
Carin Malmlöf-Forssling,SWE,Contemporary
Kevin Malone,USA,
Albert Hay Malotte,USA,Modern
Sergey Malov,,
Matthew Malsky,USA,Contemporary
Cristofano Malvezzi,ITA,Renaissance
Nikos Mamangakis,,Modern
Alia Tariel Mamedova,,
Nodar Mamisashvilli,RUS,Modern
Michio Mamiya,,Contemporary
Ursula Mamlok,DEU,Contemporary
Gabriele Manca,,
Marisa Manchado,,
Pierre de Manchicourt,FRA/FLM,Renaissance
Luigi Mancinelli,ITA,Romantic
David Mancini,,
Francesco Mancini,ITA,Baroque
Henry Mancini,USA,Modern
Thomas Mancinus,DEU,Renaissance
Joel Mandelbaum,,
Johnny Mandel,USA,Modern
Claudio Mandonico,,Contemporary
Patrick Mando,,
Sir John Manduell,,
Eusebius Mandyczewski,,
Francesco Manelli,ITA,Baroque
Christian Manen,,
Juan Manén,CTN,Modern
Giuseppe Manente,,
Fang Man,,
Manfred Arlan / Fritz Spiegl,,
Francesco Onofrio Manfredini,ITA,Baroque
Michele Mangani,ITA,
Jacques Mangeant,,
Carl Mangold,DEU,Modern
Karl Mangold,,
Burk Mangolt,,
Johannes Mangon,FLM,Renaissance
Viggo Mangor,,
Love Mangs,,
Barry Manilow,USA,Modern
Antonio Jiménez Manjón,,
Henning Mankell,,
Adrian Mann,,
Gennaro Manna,,
David Mann,,
Ferdinand Manner,,
Sasha Johnson Manning,,
Johann Gottfried Hendrik Mann,,
R.F.M. Mann,,
Robert Mann,,
Jeff Manookian,,Contemporary
Philippe Manoury,FRA,Contemporary
Tigran Mansurian,ARM,Contemporary
Santiago Mantas,,
Juan José Mantecón,,
Gian Battista Mantegazzi,,
Simone Mantia,,
Philip Mantione,,
Bruno Mantovani,FRA,
Jaakko Mantyjarvi,,Contemporary
Nicolaos Mantzaros,GRC,Romantic
Manuel Adnot / Elie Dalibert / Arthur Narcy,,
Manuel de Falla / F. Kreisler / N. Paganini,,
Irina Manukian,RUS,Contemporary
Nickolai Manykin-Nevstruev,,
Armando Manzanero,,
Andrew Manze,,Contemporary
Marcelle Manziarly,,
Marcelle de Manziarly,FRA,Modern
Homero Manzi,,
Andrea Manzoli,,
Giacomo Manzoni,ITA,Modern
Paul Manz,,Modern
Mao Yuen,,
Marin Marais,FRA,Baroque
Roland Marais,,
Gaetano Marani,,
Marco Marazzoli,,Baroque
Marcabru,FRA,Medieval
Marcelino Icho / Juan Josef Nosa / Francisco Semo,,
Andrea Marcelli,ITA/USA,
Alessandro Marcello,ITA,Baroque
Benedetto Marcello,ITA,Baroque
Marcello Vitale / David Maroyal,,
Alexander Marchakovsky,RUS,
Chrystel Marchand,,
Joseph Marchand,FRA,
Louis Marchand,FRA,Baroque
John Marchant,,
Erik Marchelie,,Contemporary
Bruno Marchetti,,
Fernando Marchetti,,Late- / Post-Romantic
Filippo Marchetti,ITA,Romantic
Paolo Marchettini,,
Marchetto da Padova,,
Pietro Marchitelli,,
Adriana Marconi,,
Néstor Marconi,ARG,Contemporary
Giovanni Francesco Marcorelli,ITA,
Marcos Antonio Portugal (Protogallo),PRT,
Caroline Marçot,,
Tomás Marco,ESP,Contemporary
Thomas Marc,FRA,Baroque
Haig Mardirosian,,
Giovanni Battista Marella,,Baroque
Romualdo Marenco,,Modern
Luca Marenzio,ITA,Renaissance
Samuel Mareschall,,
André-François Marescotti,CHE,Modern
Margie Butler / Paul Espinoza,,
Alfred Margis,,
Franco Margola,ITA,Contemporary
Bob Margolis,,Contemporary
Marguerite d'Autriche,,
Corrado Margutti,ITA,
Maria L. Naryshkina,,
Dario Marianelli,,
Maria Gabriella Mariani,,
Ralph Siegel Maria,,Contemporary
Maria V. Zubova,,
Dave Maric,,
Cristian Marina,,Contemporary
Pablo Mariña,,
Liviu Marinescu,,
Biagio Marini,ITA,Baroque
José Marín,ESP,Baroque
Carlo Antonio Marino,,
Girolamo Marinoni,,Baroque
Gino Marinuzzi,ITA,Modern
E.A. Mario (AKA Giovanni Gaeta),ITA,Modern
Maris Caklais / Peteris Vasks,,
Csaba Zoltan Marjan,,
Mark Charlap / Jule Styne,,Modern
Igor Markevitch,RUS,Modern
Jon Mark,NZL,
Kim Märkl,,
Marcin Markowicz,,
Michael Markowski,,
Gerald Marks,,
Johnny (John D.) Marks,,Modern
Matt Marks,,
Thomas Markusson,,
Michal Markuszewski,,
David Marlatt,CAN,Contemporary
Nicolas de Marle,,
Christopher Marlowe,,
Antoine François Marmontel,FRA,
Denman Maroney,USA,Contemporary
Marcus Karl Maroney,,
Maronite Chant,,
Miklos Maros,SWE,Contemporary
Rudolf Maros,HUN,
Iason Maroulis,GRC,
Friedrich Wilhelm Marpurg,DEU,Classical
Arturo Márquez,,Contemporary
Roberto Márquez,,
Pascual Marquina Narro,ESP,Late- / Post-Romantic
Hettorre della Marra,,
Patrizio Marrone,,
José Sabre Marroquín,,
Branford Marsalis,USA,
Ellis Marsalis,,
Adolf Eduard Marschner,,Romantic
Heinrich August Marschner,DEU,Romantic
Arthur Marshall,USA,Modern
Bruce Marshall,,
Charles Marshall,,
Christopher Marshall,AUS,Romantic
Ingram Marshall,USA,Contemporary
Jack Marshall,,
Jane Marshall,,Contemporary
Judy Marshall,,
Julian Marshall,,
Nicholas Marshall,,
Marshall Noah Altman / Nabby Foulk / Ingrid Michaelson,,
Wayne Marshall,ENG,Contemporary
William Marshall,,
Bob Marsh,,
John Marsh,ENG,Classical
Roger Marsh,,
George Marson,,
John Marson,,Contemporary
John Marston,,
István Márta,HUN,Contemporary
Henri Marteau,,
Carlo Martelli,ENG,Contemporary
Henry Martelli,,
Lasse Mårtenson,,Modern
Per Mårtensson,,Contemporary
Staffan Mårtensson,,
Niels Marthinsen,,
Matthew Marth,,Contemporary
Martial Solal / Pascal Wetzel,,
Heinz Marti,CHE,Contemporary
Algirdas Martinaitis,,Contemporary
Žibuoklė Martinaitytė,,
David M. Martin,,Contemporary
Ed Martin,,
Eduardo Martín,,
Elena Martin,,
Martinelli,,
Giulio Cesare Martinengo,,
Enoch Martin,,
Marianna Martines,AUT,Classical
Thomas Martine,,
Javier Martinez,,
Antonio José Martínez Palacios,ESP,Modern
Patricia Elizabeth Martinez,,
Manuel Martinez-Sobral,,
François Martin,FRA,Baroque
Frank Martin,CHE,Modern
George Martin,ENG,Contemporary
Glenn Martin,,
Gustavo Martín,,
Henry Martin,,Contemporary
Hugh Martin,USA,Modern
Agostino Martini,,
Francesco Martini,,
Jean-Paul-Égide Martini,FRA,Classical
Johannes Martini,NLD,Renaissance
Padre Giovanni Battista Martini,ITA,Baroque
Jeremy Martin,,
Jonathan Martin,,
Joseph M. Martin,,
Martin Kraemer,,
Martin le Béguin de Cambrai,,
Matthew Martin,,Contemporary
Aladino di Martino,,
Donald Martino,USA,Modern
Jean Martinon,FRA,Modern
Ralph Martino,,
Philip Martin,IRL,Contemporary
Robert Martin,USA,Contemporary
Roland E. Martin,,
Sir George Martin,ENG,
Joel Martinson,,Contemporary
Rolf Martinsson,SWE,Contemporary
Stephen L. Martin,,Contemporary
Bohuslav Martinů,CZE,Modern
Victor Martin,,
Warren Martin,,Modern
Antonio Martín y Coll,,Baroque
Vicente Martin y Soler,ESP,Classical
Tauno Marttinen,FIN,Contemporary
Giuseppe Martucci,ITA,Romantic
Vladimir Martynov,RUS,
Enrico Marucelli,,
Agustin Maruri,,
Kazunori Maruyama,,Contemporary
Takayuki Maruyama,,
Andrew Marvell,,
Einari Marvia,FIN,
Marvin K. Gardner / Vanja Y. Watkins,,
Joseph Marx,AUT,Modern
Karl Marx,DEU,Modern
Michael Marx,,
Eduard Marxsen,DEU,
Mary Elixabeth Caldwell,,
Mary Stuart, Queen of Scots,SCO,
Giuseppe Marzino,,
Paolo Marzocchi,ITA,
Pietro Masacone,,
Miya Masaoka,,
